case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,next_command,fix_steps
NS-001,"PC in VLAN 10 gets an IP address but cannot ping its default gateway.","Access switch connects PC1 to SW1 Fa0/3; gateway should be SVI VLAN 10 at 192.168.10.1.","show ip interface brief: Vlan10 administratively down down. show vlan brief: VLAN 10 active with Fa0/3 assigned.","SVI VLAN 10 is administratively shut down.","Layer 3","VLAN","High","show running-config interface vlan 10","Enter interface vlan 10; run no shutdown; verify with show ip interface brief and ping gateway."
NS-002,"PC in VLAN 20 can ping gateway but cannot reach server in VLAN 30.","Router-on-a-stick link from SW1 to R1 should carry VLANs 20 and 30.","show interfaces trunk: Gi0/1 allowed vlans 1,20. show ip route: connected routes for VLAN 20 and VLAN 30 exist on R1.","VLAN 30 is not allowed on the trunk toward the router.","Layer 2","Trunking","High","show interfaces trunk","Add VLAN 30 to the trunk allowed list; verify trunk state and retest inter-VLAN ping."
NS-003,"Client receives 169.254 address instead of DHCP lease.","DHCP service runs on R1 for VLAN 40 clients.","show ip dhcp pool: network 192.168.50.0 /24 default-router 192.168.40.1. Client VLAN is 192.168.40.0 /24.","DHCP pool network does not match the client VLAN subnet.","Layer 3","DHCP","High","show running-config | section dhcp","Correct the DHCP pool network to 192.168.40.0 /24; clear bindings; renew client lease."
NS-004,"User can ping 8.8.8.8 but cannot browse by hostname.","Campus DNS server should be 192.168.100.53.","nslookup intranet.local: DNS request timed out. ipconfig: DNS server 192.168.100.99.","Client has the wrong DNS server address.","Layer 7","DNS","Medium","ipconfig /all","Set DNS server to 192.168.100.53 and verify name resolution with nslookup."
NS-005,"Branch LAN can reach router but not headquarters subnet.","Static routing is used between branch router BR1 and HQ router HQ1.","show ip route on BR1: Gateway of last resort is not set. No route to 10.10.0.0/16.","Branch router is missing a route to the headquarters network.","Layer 3","Routing","High","show ip route 10.10.0.0","Add a static route to 10.10.0.0/16 via the WAN next hop; verify with traceroute."
NS-006,"Server can ping inside clients but inside clients cannot access the internet.","R1 provides PAT for inside VLANs to ISP.","show ip nat translations: empty. show run: interfaces lack ip nat inside and ip nat outside.","NAT inside/outside roles are missing on router interfaces.","Layer 3","NAT","High","show ip nat statistics","Configure ip nat inside on LAN interface and ip nat outside on WAN interface; verify translations."
NS-007,"PC in VLAN 15 cannot obtain DHCP but static IP works.","DHCP server is on another subnet and relay should be configured on SVI VLAN 15.","show run interface vlan 15: no ip helper-address present. DHCP server reachable from switch.","DHCP relay helper address is missing on VLAN 15 SVI.","Layer 3","DHCP","High","show running-config interface vlan 15","Add ip helper-address pointing to the DHCP server; renew the client lease."
NS-008,"Guest Wi-Fi clients can access an internal payroll server.","Guest SSID should map to isolated VLAN 90 with restricted access.","show access-lists GUEST-FILTER: no deny statement for 10.20.30.10. show wlan summary: Guest SSID mapped to VLAN 90.","Guest wireless ACL does not block the internal server.","Layer 4","Wireless","Critical","show access-lists GUEST-FILTER","Add explicit deny from guest VLAN to payroll server before general permits; verify from guest client."
NS-009,"Two PCs intermittently lose connectivity in VLAN 25.","Both PCs were manually configured during lab setup.","show logging: %IP-4-DUPADDR duplicate address 192.168.25.18 on Vlan25. ARP table flaps between two MAC addresses.","Two hosts are using the same IP address.","Layer 3","Addressing","High","show ip arp 192.168.25.18","Assign a unique IP or return one host to DHCP; clear ARP and test stability."
NS-010,"PC can ping local gateway but cannot ping remote subnet after ACL was added.","ACL 110 is applied inbound on R1 Gi0/0.","show access-lists 110: deny ip 192.168.10.0 0.0.0.255 any matches 42; permit ip any any. show run interface Gi0/0: ip access-group 110 in.","ACL denies traffic from the local subnet before the permit statement.","Layer 4","ACL","High","show access-lists 110","Replace or reorder ACL entries to permit required traffic; confirm hit counts and retest."
